Name,Age,WCA ID,Solve 1,Solve 2,Solve 3,Solve 4,Solve 5,Best,Average,Link,Comment
Konsta Jukka,40+,2008JUKK01,12.09,12.94,13.80,11.27,14.52,11.27,12.94,https://www.facebook.com/events/2812216602434889/permalink/2812794762377073,Using 5 different cubes with different settings will be my this weeks excuse why my I was slower than my normal avg. 💩
Enrymar Cisneros,<40,2013CISN01,15.51,14.44,14.20,13.18,14.66,13.18,14.43,https://www.facebook.com/events/2812216602434889/permalink/2818833045106578,
Newton Nguyen,<10,2019NGUY30,16.15,17.62,17.70,15.07,19.89,15.07,17.16,https://www.facebook.com/events/2812216602434889/permalink/2818539298469286,
Geoff Hartnell,40+,2017HART06,15.67,18.30,14.51,20.27,18.36,14.51,17.44,https://www.facebook.com/events/2812216602434889/permalink/2816632028660013,
Shawn Boucké,<40,2016BOUC01,17.94,19.34,14.20,16.40,19.28,14.20,17.87,https://www.facebook.com/events/2812216602434889/permalink/2813694458953770,
Jason Green,40+,2016GREE02,18.02,17.93,18.71,20.19,DNF,17.93,18.97,https://www.facebook.com/jasongreenbowler/videos/10163944541995425,Stopped camera on first solve but still used the time.
Pete Lee,<40,2018LEEP04,18.21,20.91,23.84,18.33,19.60,18.21,19.61,https://www.facebook.com/events/2812216602434889/permalink/2816667538656462,
Ed Connell,<40,2018CONN04,22.24,16.20,18.67,20.30,20.68,16.20,19.88,https://www.facebook.com/events/2812216602434889/permalink/2818220558501160,Haven't practiced much this week and it shows.
Aaron Cumes,40+,2018CUME02,19.04,21.84,19.02,21.52,21.19,19.02,20.58,https://www.facebook.com/events/2812216602434889/permalink/2813090202347529,
Anthony Rochester,40+,2019ROCH03,20.93,22.83,27.92,21.49,22.76,20.93,22.36,https://www.facebook.com/events/2812216602434889/permalink/2813411375648745,
Timothy Babb,<30,2015BABB01,23.01,22.86,21.92,19.32,22.94,19.32,22.57,https://www.facebook.com/tbabb/videos/10164454739985553,
Denis Reimer,40+,2016REIM01,27.89,23.93,26.49,28.18,20.77,20.77,26.10,https://www.facebook.com/denis.reimer.5473/videos/655086878436274,This is my first competition here. Thank you for having this group and these competitions!!!
Jan Adams-Fielding,40+,,24.50,30.48,20.95,26.60,34.26,20.95,27.19,https://www.facebook.com/events/2812216602434889/permalink/2818693708453845,New comp PB single
Yi-Wei Chen,40+,,30.23,23.99,29.13,39.66,22.58,22.58,27.78,https://www.facebook.com/events/2812216602434889/permalink/2816768031979746,
Huy Nguyen,40+,2019NGUY29,17.59,22.32,DNF,37.71,23.47,17.59,27.83,https://www.facebook.com/events/2812216602434889/permalink/2818539298469286,
Joshua Riegel,<30,2019RIEG02,29.81,30.22,26.85,35.70,28.70,26.85,29.58,https://www.facebook.com/events/2812216602434889/permalink/2818592468463969,
Daniel Smith,50+,2018SMIT42,22.52,31.92,27.92,32.44,33.05,22.52,30.77,https://www.facebook.com/events/2812216602434889/permalink/2817941285195754,
Jae Park,40+,2015PARK24,28.97,32.31,41.91,54.22,27.85,27.85,34.40,https://www.facebook.com/events/2812216602434889/permalink/2816623875327495,
John Neo Stanley,50+,,33.68,33.92,34.26,42.03,38.52,33.68,35.57,https://www.facebook.com/events/2812216602434889/permalink/2815680582088491,Nerves need ironing out LOL
Marcel Balzer,40+,,35.57,1:08.64,32.97,31.41,43.04,31.41,37.19,https://www.facebook.com/marcel.balzer.9216/videos/10160364933897516,
