Name,Age,WCA ID,Solve 1,Solve 2,Solve 3,Solve 4,Solve 5,Best,Average,Link,Comment
Shawn Boucké,<40,2016BOUC01,1:02.57,49.90,58.47,45.17,1:03.79,45.17,56.98,https://www.facebook.com/events/1112228215845470/permalink/1115381958863429,
Michael George,40+,2015GEOR02,1:00.60,1:14.56,56.02,57.00,1:03.67,56.02,1:00.42,https://www.facebook.com/michael.george.545/videos/10214158862725882,Three double parities (two of them counting towards the average) and two PLL parities.
Rob Peters,40+,2016PETE06,1:03.50,1:09.43,55.06,58.36,1:01.18,55.06,1:01.01,https://www.facebook.com/667027593/videos/10158644222542594,
Enrymar Cisneros,<40,2013CISN01,59.66,1:05.19,59.10,1:06.61,1:00.41,59.10,1:01.75,https://www.facebook.com/events/1112228215845470/permalink/1117927325275559,
Geoff Hartnell,40+,2017HART06,1:16.81,1:13.42,1:04.78,1:05.10,DNF,1:04.78,1:11.78,https://www.facebook.com/events/1112228215845470/permalink/1116068815461410,
Ed Connell,<40,2018CONN04,1:15.55,1:11.59,1:07.06,1:19.25,1:12.16,1:07.06,1:13.10,https://www.facebook.com/events/1112228215845470/permalink/1116787278722897,
Pete Lee,<40,2018LEEP04,1:21.15,1:13.55,1:14.50,1:05.66,DNF,1:05.66,1:16.40,https://www.facebook.com/events/1112228215845470/permalink/1117010005367291,
Daniel Smith,50+,2018SMIT42,1:17.57,1:30.64,1:26.65,1:30.76,1:26.46,1:17.57,1:27.91,https://www.facebook.com/events/1112228215845470/permalink/1117137262021232,
Joshua Riegel,<30,2019RIEG02,1:31.33,1:52.53,1:54.16,DNS,DNS,1:31.33,1:46.01,https://www.facebook.com/events/1112228215845470/permalink/1115629312172027,
Chris Thames,<40,2019THAM05,2:25.57,2:03.71,2:13.59,DNS,DNS,2:03.71,2:14.29,https://www.facebook.com/events/1112228215845470/permalink/1116971215371170,
