Name,Age,WCA ID,Solve 1,Solve 2,Solve 3,Solve 4,Solve 5,Best,Average,Link,Comment
Shawn Boucké,<40,2016BOUC01,52.26,51.42,55.09,50.56,51.61,50.56,51.76,https://www.facebook.com/events/150603127207792/permalink/151947583740013,
Konsta Jukka,40+,2008JUKK01,50.17,48.66,46.78,1:02.85,1:03.44,46.78,53.89,https://www.facebook.com/events/150603127207792/permalink/158766283058143,
Enrymar Cisneros,<40,2013CISN01,46.84,1:05.86,59.82,1:05.14,55.38,46.84,1:00.11,https://www.facebook.com/events/150603127207792/permalink/158816103053161,
Pete Lee,<40,2018LEEP04,1:09.77,1:00.57,1:10.23,1:01.69,1:07.77,1:00.57,1:06.41,https://www.facebook.com/events/150603127207792/permalink/158628983071873,
Geoff Hartnell,40+,2017HART06,1:08.03,1:10.35,1:08.25,1:16.57,1:14.58,1:08.03,1:11.06,https://www.facebook.com/events/150603127207792/permalink/154997910101647,
Yi-Wei Chen,40+,,1:09.43,1:18.09,1:20.75,1:14.20,1:11.83,1:09.43,1:14.71,https://www.facebook.com/events/150603127207792/permalink/157840606484044,
Jason Green,40+,2016GREE02,1:31.72,1:16.46,1:16.43,1:15.87,1:22.63,1:15.87,1:18.50,https://www.facebook.com/jasongreenbowler/videos/219121096815327,
JM Tambaoan,40+,,1:20.78,1:21.20,1:19.28,1:40.17,1:26.60,1:19.28,1:22.86,https://www.facebook.com/events/150603127207792/permalink/158356853099086,
Daniel Smith,50+,2018SMIT42,1:23.63,1:26.94,1:22.40,1:24.79,1:26.99,1:22.40,1:25.12,https://www.facebook.com/events/150603127207792/permalink/158678646400240,
Mickey Doyle,40+,2021DOYL02,1:43.31,1:34.83,1:39.07,DNS,DNS,1:34.83,1:39.07,https://www.facebook.com/events/150603127207792/permalink/157454826522622,
John Neo Stanley,50+,,2:30.78,2:06.67,2:27.86,DNS,DNS,2:06.67,2:21.77,https://www.facebook.com/events/150603127207792/permalink/154321613502610,First Ever Comp!!!
Jae Park,50+,2015PARK24,4:20.81,5:21.68,DNS,DNS,DNS,4:20.81,DNF,https://www.facebook.com/events/150603127207792/permalink/156263563308415,
